,Soil humidity ,Air humidity (%),Air temperature (C),Motor
118,64.67,9.65,30.86,0
119,64.64,9.33,31.27,0
120,64.61,9.01,31.69,0
121,64.58,8.7,32.1,0
122,64.56,8.38,32.51,0
123,64.53,8.06,32.93,0
124,64.5,7.74,33.34,0
125,64.47,7.15,33.28,0
126,64.44,6.56,33.23,0
127,64.42,6.36,33.62,0
128,64.39,6.17,34.01,0
129,64.36,5.97,34.36,0
130,64.33,5.77,34.71,0
131,64.31,5.66,35.04,0
132,64.28,5.56,35.37,0
133,64.25,5.48,35.04,0
134,64.22,5.41,34.71,0
135,64.19,5.28,35.13,0
136,64.17,5.14,35.55,0
137,64.14,5.13,35.55,0
138,64.11,5.12,35.55,0
139,64.08,4.88,36,0
140,64.06,4.64,36.46,0
141,64.03,4.66,36.39,0
142,64,4.69,36.33,0
143,64.05,4.48,36.33,1
144,64.1,4.28,36.32,1
145,64.14,4.07,36.32,1
146,64.19,3.86,36.31,1
147,64.24,3.92,36.53,1
148,64.29,3.97,36.76,1
149,64.34,3.88,37.06,1
150,64.38,3.8,37.36,1
151,64.43,3.72,37.69,1
152,64.48,3.65,38.02,1
153,64.53,3.51,37.6,1
154,64.58,3.38,37.17,1
155,64.62,3.75,36.66,1
156,64.67,4.12,36.15,1
157,64.72,4.32,35.44,1
158,64.77,4.53,34.72,1
159,64.82,4.85,34.78,1
160,64.86,5.17,34.85,1
161,64.91,4.87,34.93,1
162,64.96,4.57,35.01,1
163,65.01,4.49,35.45,1
164,65.05,4.4,35.89,1
165,65.1,3.99,36.3,1
166,65.15,3.57,36.71,1
167,65.2,3.71,36.77,1
168,65.25,3.85,36.83,1
169,65.29,3.97,36.7,1
170,65.34,4.09,36.56,1
171,65.39,4.35,36.36,1
172,65.44,4.61,36.15,1
173,65.49,4.62,36.2,1
174,65.53,4.63,36.25,1
175,65.58,4.7,36.12,1
176,65.63,4.77,36,1
177,65.68,4.84,35.88,1
178,65.73,4.91,35.75,1
179,65.77,4.59,35.59,1
180,65.82,4.27,35.43,1
181,65.87,4.22,35.48,1
182,65.92,4.17,35.52,1
183,65.97,4.06,35.52,1
184,66.01,3.96,35.52,1
185,66.06,3.88,35.42,1
186,66.11,3.8,35.33,1
187,66.16,3.98,35.24,1
188,66.21,4.17,35.15,1
189,66.25,4.12,35.34,1
190,66.3,4.06,35.52,1
191,66.35,3.96,35.53,1
192,66.4,3.87,35.55,1
193,66.45,3.7,35.4,1
194,66.49,3.53,35.25,1
195,66.54,3.34,35.35,1
196,66.59,2.96,35.24,1
197,66.64,2.58,35.13,1
198,66.68,2.74,35.03,1
199,66.73,2.9,34.92,1
200,66.78,2.88,34.83,1
201,66.83,2.86,34.73,1
202,66.88,2.99,34.74,1
203,66.92,3.12,34.76,1
204,66.97,3.08,34.7,1
205,67.02,3.05,34.63,1
206,67.07,3.1,34.56,1
207,67.12,3.16,34.49,1
208,67.16,3.52,34.48,1
209,67.21,3.87,34.46,1
210,67.26,3.7,34.26,1
211,67.31,3.52,34.07,1
212,67.36,3.5,33.83,1
213,67.4,3.48,33.58,1
214,67.45,3.6,33.44,1
215,67.5,3.72,33.31,1
216,67.55,3.88,33.13,1
217,67.6,4.05,32.95,1
218,67.64,4.17,32.82,1
219,67.69,4.29,32.69,1
220,67.74,4.14,32.64,1
221,67.79,3.98,32.59,1
222,67.84,3.94,32.45,1
223,67.88,3.9,32.3,1
224,67.93,3.86,32.16,1
225,67.98,3.82,32.02,1
226,68.03,3.78,31.87,1
227,68.08,3.74,31.73,1
228,68.12,3.86,31.54,1
229,68.17,3.99,31.34,1
230,68.22,4.12,31.15,1
231,68.27,4.24,30.96,1
232,68.32,4.5,30.75,1
233,68.36,4.75,30.54,1
234,68.41,4.79,30.44,1
235,68.46,4.83,30.35,1
236,68.51,5.22,30.13,1
237,68.55,5.61,29.91,1
238,68.6,6.22,29.58,1
239,68.65,6.82,29.24,1
240,68.7,7.38,29.03,1
241,68.75,7.93,28.83,1
242,68.79,8.25,28.68,1
243,68.84,8.56,28.54,1
244,68.89,9.15,28.34,1
245,68.94,9.74,28.14,1
246,68.99,9.64,28.22,1
247,69.03,9.54,28.3,1
248,69.08,10.34,28.09,1
249,69.13,11.15,27.88,1
250,69.18,11.73,27.74,1
251,69.23,12.3,27.61,1
252,69.27,13.09,27.38,1
253,69.32,13.88,27.16,1
254,69.37,14.36,26.84,1
255,69.42,14.83,26.52,1
256,69.47,14.93,26.29,1
257,69.51,15.04,26.06,1
258,69.56,15.08,25.94,1
259,69.61,15.12,25.81,1
260,69.66,15.58,25.73,1
261,69.71,16.05,25.65,1
262,69.75,16.13,25.59,1
263,69.8,16.22,25.53,1
264,69.85,15.56,25.51,1
265,69.9,14.89,25.49,1
266,69.95,14.34,25.63,1
267,69.99,13.78,25.77,1
268,70.04,13.56,25.8,1
269,70.09,13.34,25.82,1
270,70.14,13.36,25.74,1
271,70.18,13.38,25.65,1
272,70.23,13.32,25.64,1
273,70.28,13.25,25.62,1
274,70.33,14.4,25.38,1
275,70.38,15.54,25.15,1
276,70.42,16.4,25.04,1
277,70.47,17.26,24.94,1
278,70.52,18.12,24.83,1
279,70.57,18.26,24.82,1
280,70.62,18.41,24.82,1
281,70.66,18.22,24.84,1
282,70.71,18.02,24.85,1
283,70.76,17.3,24.91,1
284,70.81,16.58,24.97,1
285,70.86,16.43,24.88,1
286,70.9,16.29,24.79,1
287,70.95,16.19,24.66,1
288,71,16.09,24.52,1
289,70.97,15.62,24.45,0
290,70.94,15.14,24.38,0
291,70.92,14.94,24.29,0
292,70.89,14.75,24.2,0
293,70.86,14.77,24.11,0
294,70.83,14.79,24.02,0
295,70.81,15.1,23.82,0
296,70.78,15.41,23.62,0
297,70.75,15.27,23.51,0
298,70.72,15.13,23.4,0
299,70.69,15.57,23.33,0
300,70.67,16,23.26,0
301,70.64,18.12,23.1,0
302,70.61,20.25,22.94,0
303,70.58,20.45,22.85,0
304,70.56,20.65,22.76,0
305,70.53,21.04,22.56,0
306,70.5,21.44,22.36,0
307,70.47,20.72,22.42,0
308,70.44,19.99,22.47,0
309,70.42,19.48,22.41,0
310,70.39,18.97,22.35,0
311,70.36,18.12,22.46,0
312,70.33,17.26,22.58,0
313,70.31,16.78,22.69,0
314,70.28,16.31,22.8,0
315,70.25,16.06,22.77,0
316,70.22,15.82,22.74,0
317,70.19,16.02,22.6,0
318,70.17,16.22,22.46,0
319,70.14,16.61,22.24,0
320,70.11,17,22.03,0
321,70.08,17.4,21.86,0
322,70.06,17.8,21.69,0
323,70.03,18.58,21.44,0
324,70,19.35,21.19,0
325,69.97,20.23,21.12,0
326,69.94,21.1,21.04,0
327,69.92,20.2,21.38,0
328,69.89,19.31,21.71,0
329,69.86,19.27,21.76,0
330,69.83,19.23,21.81,0
331,69.81,19.92,21.64,0
332,69.78,20.61,21.46,0
333,69.75,20.76,21.37,0
334,69.72,20.92,21.28,0
335,69.69,20.92,21.33,0
336,69.67,20.92,21.38,0
337,69.64,21.41,21.28,0
338,69.61,21.9,21.19,0
339,69.58,22.01,21.16,0
340,69.56,22.12,21.13,0
341,69.53,22.5,21.02,0
342,69.5,22.88,20.92,0
343,69.47,23.25,20.82,0
344,69.44,23.63,20.71,0
345,69.42,23.19,20.72,0
346,69.39,22.74,20.72,0
347,69.36,22.3,20.73,0
348,69.33,21.86,20.74,0
349,69.31,22.1,20.6,0
350,69.28,22.33,20.46,0
351,69.25,22.6,20.38,0
352,69.22,22.88,20.3,0
353,69.19,23.15,20.22,0
354,69.17,23.42,20.14,0
355,69.14,23.38,20.12,0
356,69.11,23.34,20.09,0
357,69.08,23.66,20.01,0
358,69.06,23.99,19.93,0
359,69.03,24.31,19.85,0
360,69,25.28,19.62,0
361,68.97,26.25,19.4,0
362,68.95,26.8,19.21,0
363,68.92,27.36,19.02,0
364,68.89,28.08,18.74,0
365,68.86,28.79,18.45,0
366,68.84,29.61,18.28,0
367,68.81,30.43,18.11,0
368,68.78,30.62,18.01,0
369,68.76,30.8,17.91,0
370,68.73,29.96,18.06,0
371,68.7,29.13,18.22,0
372,68.68,28.95,18.24,0
373,68.65,28.77,18.25,0
374,68.62,28.24,18.24,0
375,68.59,27.7,18.22,0
376,68.57,27.26,18.26,0
377,68.54,26.83,18.3,0
378,68.51,26.9,18.32,0
379,68.49,26.98,18.33,0
380,68.46,27.06,18.34,0
381,68.43,27.13,18.36,0
382,68.41,26.56,18.58,0
383,68.38,25.98,18.8,0
384,68.35,25.23,19.12,0
385,68.32,24.48,19.44,0
386,68.3,23.94,19.71,0
387,68.27,23.4,19.98,0
388,68.24,22.37,20.46,0
389,68.22,21.34,20.94,0
390,68.19,20.3,21.43,0
391,68.16,19.27,21.91,0
392,68.14,18.02,22.48,0
393,68.11,16.76,23.06,0
394,68.08,15.44,23.64,0
395,68.05,14.13,24.22,0
396,68.03,13.18,24.66,0
397,68,12.22,25.1,0
398,67.97,11.43,25.65,0
399,67.94,10.64,26.19,0
400,67.92,9.84,26.74,0
401,67.89,9.03,27.3,0
402,67.86,8.72,27.61,0
403,67.83,8.41,27.92,0
404,67.81,8.38,28.06,0
405,67.78,8.34,28.2,0
406,67.75,8.3,28.35,0
407,67.72,8.27,28.49,0
408,67.69,7.94,28.8,0
409,67.67,7.6,29.12,0
410,67.64,7.26,29.65,0
411,67.61,6.91,30.17,0
412,67.58,6.69,30.53,0
413,67.56,6.46,30.9,0
414,67.53,6.24,31.26,0
415,67.5,6.02,31.62,0
416,67.47,5.68,31.62,0
417,67.44,5.33,31.62,0
418,67.42,5.12,31.92,0
419,67.39,4.92,32.21,0
420,67.36,4.72,32.44,0
421,67.33,4.53,32.66,0
422,67.31,4.32,33.02,0
423,67.28,4.11,33.38,0
424,67.25,4.11,33.16,0
425,67.22,4.11,32.94,0
426,67.19,4.08,33.2,0
427,67.17,4.05,33.45,0
428,67.14,3.86,33.65,0
429,67.11,3.67,33.84,0
430,67.08,3.66,34.03,0
431,67.06,3.66,34.22,0
432,67.03,3.56,34.36,0
433,67,3.45,34.51,0
434,66.96,3.29,34.57,0
435,66.92,3.13,34.63,0
436,66.88,3.02,34.75,0
437,66.84,2.91,34.86,0
438,66.79,2.93,34.76,0
439,66.75,2.95,34.66,0
440,66.71,2.76,34.74,0
441,66.67,2.58,34.81,0
442,66.63,2.76,34.3,0
443,66.59,2.94,33.8,0
444,66.55,3.16,33.34,0
445,66.51,3.38,32.89,0
446,66.47,3.64,32.86,0
447,66.42,3.91,32.83,0
448,66.38,3.63,33.33,0
449,66.34,3.35,33.82,0
450,66.3,3.38,33.83,0
451,66.26,3.41,33.83,0
452,66.22,3.35,34,0
453,66.18,3.29,34.18,0
454,66.14,3.23,34.48,0
455,66.1,3.17,34.77,0
456,66.05,3.02,34.58,0
457,66.01,2.88,34.38,0
458,65.97,3.16,34.13,0
459,65.93,3.43,33.88,0
460,65.89,3.4,34.12,0
461,65.85,3.37,34.37,0
462,65.81,3.49,34.07,0
463,65.77,3.6,33.77,0
464,65.73,3.53,33.76,0
465,65.68,3.46,33.76,0
466,65.64,3.39,33.76,0
467,65.6,3.32,33.75,0
468,65.56,3.34,33.55,0
469,65.52,3.36,33.35,0
470,65.48,3.13,33.39,0
471,65.44,2.9,33.42,0
472,65.4,3.06,33.54,0
473,65.36,3.21,33.67,0
474,65.32,3.3,33.72,0
475,65.27,3.39,33.77,0
476,65.23,3.53,33.77,0
477,65.19,3.66,33.77,0
478,65.15,3.35,33.76,0
479,65.11,3.04,33.74,0
480,65.07,3.22,33.72,0
481,65.03,3.41,33.7,0
482,64.99,3.6,33.67,0
483,64.95,3.78,33.65,0
484,64.9,3.68,33.45,0
485,64.86,3.58,33.25,0
486,64.82,3.49,33.04,0
487,64.78,3.39,32.84,0
488,64.74,3.4,32.75,0
489,64.7,3.4,32.66,0
490,64.66,3.4,32.56,0
491,64.62,3.41,32.47,0
492,64.58,3.42,32.38,0
493,64.53,3.42,32.29,0
494,64.49,3.42,32.19,0
495,64.45,3.43,32.1,0
496,64.41,3.66,31.95,0
497,64.37,3.89,31.8,0
498,64.33,4.12,31.66,0
499,64.29,4.34,31.51,0
500,64.25,4.57,31.36,0
501,64.21,4.8,31.21,0
502,64.16,5.4,30.98,0
503,64.12,6,30.76,0
504,64.08,5.78,30.55,0
505,64.04,5.56,30.34,0
506,64,5.58,30.18,0
507,63.97,5.61,30.02,0
508,63.94,5.9,29.8,0
509,63.92,6.19,29.58,0
510,63.89,6.48,29.35,0
511,63.86,6.77,29.13,0
512,63.83,7.57,28.82,0
513,63.81,8.37,28.52,0
514,63.78,8.67,28.24,0
515,63.75,8.97,27.97,0
516,63.72,8.16,27.86,0
517,63.69,7.35,27.76,0
518,63.67,6.88,27.68,0
519,63.64,6.41,27.61,0
520,63.61,6.67,27.42,0
521,63.58,6.93,27.23,0
522,63.56,7.48,26.97,0
523,63.53,8.02,26.71,0
524,63.5,8.32,26.63,0
525,63.47,8.63,26.55,0
526,63.44,8.72,26.44,0
527,63.42,8.81,26.32,0
528,63.39,9,26.12,0
529,63.36,9.18,25.93,0
530,63.33,9.11,25.96,0
531,63.31,9.04,26,0
532,63.28,8.93,26.05,0
533,63.25,8.81,26.1,0
534,63.22,8.85,26.05,0
535,63.19,8.88,26,0
536,63.17,9.12,25.92,0
537,63.14,9.35,25.85,0
538,63.11,9.66,25.72,0
539,63.08,9.97,25.6,0
540,63.06,10.24,25.54,0
541,63.03,10.5,25.49,0
542,63,10.95,25.43,0
543,63,11.4,25.37,0
544,63,11.9,25.14,0
545,63,12.4,24.91,0
546,63,12.8,24.66,0
547,63,13.2,24.4,0
548,63,13.39,24.4,0
549,63,13.58,24.4,0
550,63,14.26,24.26,0
551,63,14.94,24.13,0
552,63,15.38,24.04,0
553,63,15.81,23.95,0
554,63,16.02,23.87,0
555,63,16.23,23.79,0
556,63,16.53,23.65,0
557,63,16.83,23.51,0
558,63,16.6,23.47,0
559,63,16.38,23.43,0
560,63,16.54,23.22,0
561,63,16.69,23.01,0
562,63,16.48,23.06,0
563,63,16.28,23.11,0
564,63,16.45,23,0
565,63,16.63,22.89,0
566,63,16.92,22.64,0
567,63,17.22,22.39,0
568,63,17.12,22.36,0
569,63,17.01,22.33,0
570,63,16.97,22.3,0
571,63,16.92,22.27,0
572,63,17.72,22.2,0
573,63,18.52,22.12,0
574,63,19.08,22.08,0
575,63,19.64,22.03,0
576,63,21.18,21.72,0
577,63,22.71,21.41,0
578,63,23.61,21.23,0
579,62.97,24.51,21.05,0
580,62.94,24.38,21.11,0
581,62.92,24.25,21.17,0
582,62.89,23.97,21.13,0
583,62.86,23.7,21.1,0
584,62.83,23.42,21.06,0
585,62.81,23.14,21.02,0
586,62.78,23.42,20.85,0
587,62.75,23.69,20.67,0
588,62.72,23.96,20.5,0
589,62.69,24.24,20.33,0
590,62.67,24.1,20.29,0
591,62.64,23.97,20.25,0
592,62.61,23.94,20.19,0
593,62.58,23.91,20.13,0
594,62.56,23.88,20.07,0
595,62.53,24.06,19.9,0
596,62.5,24.25,19.74,0
597,62.47,24.32,19.66,0
598,62.44,24.4,19.58,0
599,62.42,25.15,19.34,0
600,62.39,25.9,19.1,0
601,62.36,25.85,19.09,0
602,62.33,25.81,19.08,0
603,62.31,25.6,19.01,0
604,62.28,25.39,18.94,0
605,62.25,24.76,18.96,0
606,62.22,24.14,18.99,0
607,62.19,23.64,19.02,0
608,62.17,23.13,19.04,0
609,62.14,22.65,18.98,0
610,62.11,22.17,18.93,0
611,62.08,21.66,18.99,0
612,62.06,21.14,19.06,0
613,62.03,20.74,19.07,0
614,62,20.33,19.08,0
615,62,20.26,19.02,0
616,62,20.18,18.95,0
617,62,20.86,18.78,0
618,62,21.54,18.61,0
619,62,21.96,18.52,0
620,62,22.38,18.44,0
621,62,22.81,18.35,0
622,62,23.23,18.26,0
623,62,22.28,18.38,0
624,62,21.32,18.49,0
625,62,20.45,18.52,0
626,62,19.59,18.55,0
627,62,19.21,18.54,0
628,62,18.83,18.52,0
629,62,19.38,18.4,0
630,62,19.93,18.28,0
631,62,20.98,18.04,0
632,62,22.04,17.8,0
633,62,22.72,17.65,0
634,62,23.41,17.5,0
635,62,23.49,17.38,0
636,62,23.57,17.27,0
637,62,22.52,17.28,0
638,62,21.48,17.29,0
639,62,20.2,17.37,0
640,62,18.92,17.45,0
641,62,18.41,17.56,0
642,62,17.9,17.68,0
643,62,17.65,17.7,0
644,62,17.4,17.71,0
645,62,17.57,17.55,0
646,62,17.74,17.38,0
647,62,17.83,17.29,0
648,62,17.92,17.21,0
649,62,18.01,17.12,0
650,62,18.41,16.96,0
651,62,18.81,16.81,0
652,61.94,18.82,16.89,0
653,61.89,18.84,16.96,0
654,61.83,18.86,17.04,0
655,61.78,18.87,17.12,0
656,61.72,19.08,17.03,0
657,61.67,19.28,16.94,0
658,61.61,19.88,16.76,0
659,61.56,20.48,16.59,0
660,61.5,20.8,16.55,0
661,61.44,21.12,16.51,0
662,61.39,21.62,16.33,0
663,61.33,22.11,16.14,0
664,61.28,22.56,16,0
665,61.22,23.01,15.85,0
666,61.17,23.2,15.77,0
667,61.11,23.38,15.69,0
668,61.06,22.62,15.89,0
669,61,21.85,16.09,0
670,60.94,21.06,16.4,0
671,60.89,20.26,16.72,0
672,60.83,20.1,16.99,0
673,60.78,19.94,17.26,0
674,60.72,19.34,17.7,0
675,60.67,18.75,18.15,0
676,60.61,17.99,18.73,0
677,60.56,17.24,19.31,0
678,60.5,16.27,19.94,0
679,60.44,15.31,20.57,0
680,60.39,14.57,21.18,0
681,60.33,13.83,21.8,0
682,60.28,13.09,22.41,0
683,60.22,12.35,23.02,0
684,60.17,11.86,23.67,0
685,60.11,11.37,24.32,0
686,60.06,10.36,24.96,0
687,60,9.34,25.6,0
688,59.97,8.85,26.06,0
689,59.94,8.36,26.52,0
690,59.92,8.13,27.06,0
691,59.89,7.9,27.59,0
692,59.86,6.9,28.14,0
693,59.83,5.91,28.69,0
694,59.81,5.4,29.15,0
695,59.78,4.88,29.61,0
696,59.75,4.65,29.88,0
697,59.72,4.42,30.14,0
698,59.69,4,30.54,0
699,59.67,3.57,30.95,0
700,59.64,3.64,31.38,0
701,59.61,3.7,31.8,0
702,59.58,3.57,31.78,0
703,59.56,3.44,31.77,0
704,59.53,3.31,31.76,0
705,59.5,3.18,31.74,0
706,59.47,2.96,32.4,0
707,59.44,2.74,33.06,0
708,59.42,2.66,32.97,0
709,59.39,2.58,32.87,0
710,59.36,2.55,32.99,0
711,59.33,2.53,33.11,0
712,59.31,2.51,33.34,0
713,59.28,2.5,33.57,0
714,59.25,2.54,34,0
715,59.22,2.59,34.44,0
716,59.19,2.24,34.4,0
717,59.17,1.9,34.37,0
718,59.14,1.92,34.41,0
719,59.11,1.93,34.45,0
720,59.08,1.91,34.67,0
721,59.06,1.89,34.9,0
722,59.03,1.82,34.7,0
723,59,1.75,34.49,0
724,58.97,1.69,34.98,0
725,58.95,1.64,35.48,0
726,58.92,1.58,35.34,0
727,58.89,1.52,35.21,0
728,58.86,1.32,35.16,0
729,58.84,1.12,35.12,0
730,58.81,1.44,34.67,0
731,58.78,1.77,34.23,0
732,58.76,1.86,33.94,0
733,58.73,1.95,33.64,0
734,58.7,2.01,33.12,0
735,58.68,2.07,32.59,0
736,58.65,2.25,32.66,0
737,58.62,2.43,32.72,0
738,58.59,2.04,33.04,0
739,58.57,1.66,33.36,0
740,58.54,1.4,33.53,0
741,58.51,1.14,33.71,0
742,58.49,1.1,33.86,0
743,58.46,1.05,34,0
744,58.43,1.04,33.9,0
745,58.41,1.04,33.8,0
746,58.38,1.16,33.67,0
747,58.35,1.27,33.54,0
748,58.32,1.48,33.68,0
749,58.3,1.68,33.82,0
750,58.27,1.68,33.63,0
751,58.24,1.69,33.44,0
752,58.22,1.66,33.38,0
753,58.19,1.63,33.31,0
754,58.16,1.38,33.3,0
755,58.14,1.14,33.29,0
756,58.11,1.32,33.02,0
757,58.08,1.5,32.76,0
758,58.05,1.39,32.78,0
759,58.03,1.28,32.79,0
760,58,1.28,32.92,0
761,57.97,1.29,33.04,0
762,57.94,1.3,33.02,0
763,57.92,1.31,33.01,0
764,57.89,1.04,33.07,0
765,57.86,0.76,33.13,0
766,57.83,0.7,33.08,0
767,57.81,0.64,33.02,0
768,57.78,0.74,32.92,0
769,57.75,0.85,32.82,0
770,57.72,1.14,32.77,0
771,57.69,1.42,32.72,0
772,57.67,1.28,32.63,0
773,57.64,1.14,32.54,0
774,57.61,1,32.6,0
775,57.58,0.86,32.65,0
776,57.56,0.86,32.45,0
777,57.53,0.86,32.25,0
778,57.5,0.84,32.22,0
779,57.47,0.81,32.19,0
780,57.44,0.7,32.17,0
781,57.42,0.59,32.15,0
782,57.39,0.89,32.06,0
783,57.36,1.19,31.97,0
784,57.33,1.06,31.84,0
785,57.31,0.93,31.72,0
786,57.28,1.04,31.64,0
787,57.25,1.16,31.57,0
788,57.22,1.3,31.52,0
789,57.19,1.43,31.47,0
790,57.17,1.42,31.37,0
791,57.14,1.42,31.27,0
792,57.11,1.26,31.06,0
793,57.08,1.1,30.84,0
794,57.06,1.24,30.68,0
795,57.03,1.38,30.52,0
796,57,1.52,30.36,0
797,57.28,1.66,30.2,1
798,57.56,2.06,29.96,1
799,57.83,2.47,29.72,1
800,58.11,2.62,29.55,1
801,58.39,2.76,29.38,1
802,58.67,2.76,29.08,1
803,58.94,2.77,28.78,1
804,59.22,2.65,28.58,1
805,59.5,2.53,28.39,1
806,59.78,2.53,28.18,1
807,60.06,2.53,27.96,1
808,60.33,2.74,27.7,1
809,60.61,2.95,27.45,1
810,60.89,3.27,27.18,1
811,61.17,3.59,26.9,1
812,61.44,3.91,26.62,1
813,61.72,4.23,26.35,1
814,62,4.93,26.11,1
815,62.28,5.63,25.87,1
816,62.56,5.87,25.84,1
817,62.83,6.11,25.81,1
818,63.11,6.91,25.54,1
819,63.39,7.71,25.26,1
820,63.67,7.66,25.28,1
821,63.94,7.62,25.31,1
822,64.22,7.82,25.26,1
823,64.5,8.02,25.22,1
824,64.78,8.57,25.12,1
825,65.06,9.13,25.02,1
826,65.33,9.58,24.96,1
827,65.61,10.03,24.91,1
828,65.89,10.19,24.74,1
829,66.17,10.35,24.57,1
830,66.44,10.43,24.39,1
831,66.72,10.51,24.21,1
832,67,10.78,24.11,1
833,67,11.06,24.01,0
834,67,11.08,23.95,0
835,67,11.1,23.89,0
836,67,11.68,23.67,0
837,67,12.27,23.45,0
838,67,12.64,23.3,0
839,67,13.01,23.15,0
840,67,14.4,22.8,0
841,67,15.8,22.46,0
842,67,18.59,21.69,0
843,67,21.38,20.92,0
844,67,23.44,20.46,0
845,67,25.5,20,0
846,67,27.56,19.53,0
847,67,29.62,19.07,0
848,67,33.3,18.78,0
849,67,36.98,18.49,0
850,67,38.71,18.4,0
851,67,40.44,18.3,0
852,67,41.26,18.44,0
853,67,42.07,18.58,0
854,67,44.31,18.34,0
855,67,46.55,18.09,0
856,67,48.2,17.87,0
857,67,49.85,17.64,0
858,67,50.66,17.48,0
859,67,51.46,17.32,0
860,67,52.26,17.16,0
861,67,53.06,17,0
862,67,53.95,17.11,0
863,67,54.84,17.22,0
864,67,54.7,17.28,0
865,67,54.57,17.34,0
866,67,54.43,17.41,0
867,67,54.3,17.47,0
868,67,54.16,17.53,0
869,66.97,49.74,17.92,0
870,66.94,45.32,18.3,0
871,66.92,44.74,18.21,0
872,66.89,44.16,18.12,0
873,66.86,43.17,18.1,0
874,66.83,42.18,18.08,0
875,66.81,39.95,18.2,0
876,66.78,37.72,18.33,0
877,66.75,35.2,18.42,0
878,66.72,32.68,18.51,0
879,66.69,30.62,18.57,0
880,66.67,28.56,18.62,0
881,66.64,28.4,18.51,0
882,66.61,28.24,18.4,0
883,66.58,27.62,18.4,0
884,66.56,26.99,18.39,0
885,66.53,26.06,18.42,0
886,66.5,25.13,18.44,0
887,66.47,24.14,18.52,0
888,66.44,23.14,18.59,0
